0,ग्वालियर में 183 संदिग्ध राेगियाें की हुई जांच दो काेराेना संक्रमित मरीज मिले - 183 suspected patients were investigated in Gwalior two corona infected patients were found . जिले में आज एक मरीज स्वस्थ्य हुआ है जबकि कोरोना के एक्टिव केस की संख्या महज दस बची है ,"183 suspected patients were investigated in Gwalior two COVID-19 infected patients were found. Today, one patient has recovered in the district, leaving only ten active cases of COVID-19.","[{'Disease': 'COVID-19', 'Location': 'Gwalior', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '10'}, {'Disease': 'COVID-19', 'Location': 'Gwalior', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new ', 'Number': '2'}]","[{'Question': 'How many suspected COVID-19 patients were investigated in Gwalior?', 'Answer': '183 suspected patients'}, {'Question': 'How many new infected patients of COVID-19 were found?', 'Answer': 'Two '}, {'Question': 'In which city were 183 suspected cases of COVID-19 investigated?', 'Answer': 'Gwalior'}, {'Question': 'The total number of active cases in Gwalior are? ', 'Answer': 'Ten'}]",Marwan
1,मोरबी ब्रिज हादसा : मरम्मत करने वाली कंपनी के बॉस ने कोर्ट में किया सरेंडर - Morbi Bridge accident: Repair companys boss surrenders in court | Webdunia Hindi | मोरबी। पिछले साल मोरबी में पुल टूटने की घटना में आरोपी ओरेवा समूह के प्रबंध निदेशक जयसुख पटेल ने एक अदालत में आत्मसमर्पण किया। पुलिस ने बताया कि पटेल को शाम में गिरफ्तार कर लिया गया। पिछले साल 30 अक्टूबर को गुजरात के मोरबी शहर में पुल के टूट जाने से कम से कम 135 लोगों की मौत हो गई थी और कई अन्य घायल हो गए थे। - Morbi Bridge accident: Repair companys boss surrenders in court,,[],"[{'Question': ""How many people were killed when a bridge collapsed in Gujarat's Morbi town on October 30 "", 'Answer': '135'}, {'Question': 'where did the bridge collapse incident happen', 'Answer': ""Gujarat's Morbi town""}, {'Question': ""who was accused for the last year's Morbi bridge collapse incident"", 'Answer': 'Jaysukh Patel'}]",Saba
2,"जोधपुर में गैस सिलेंडर रिफिलिंग के दौरान लगी आग, गाड़ियां तक पिघल गईं | Fire broke out during gas cylinder refilling in Jodhpur, even vehicles parked outside the house melted - Dainik Bhaskar | जोधपुर का कीर्तिनगर शनिवार दोपहर धमाकों से दहल उठा। एक-एक हुए विस्फोटों से करीब एक किलोमीटर के इलाकों में दहशत फैल गई। देखते ही देखते 3 बच्चों समेत एक युवक जिंदा जल गया। 16 लोग गंभीर रूप से झुलस गए। पड़ोस के कई मकानों में दरारें पड़ गईं। घर में खड़ी गाड़ियां पिघल गईं। | A mother who entered to save her son came out burning, the other killed 4 children, जोधपुर में दोपहर को कीर्ति नगर में दोपहर हुए सिलेंडर ब्लास्ट में 4 लोगों की मौत हो चुकी है। 16 लोग घायल है और इनमें से 8 लोग 80 प्रतिशत झुलस गए। हादसे ने पूरे जोधपुर को झकझोर कर रख दिया है। हादसे की भयावहता का अंदाजा इसी बात से लगाया जा सकता है कि जिस घर में सिलेंडर ब्लास्ट हुआ उसके आस-पास 3 से 4 घर चपेट में आ गए। घर के बाहर खेल रहे बच्चे की मौत हो गई।आखिर ये हादसा हुआ कैसे? इस सवाल का जवाब जानने के लिए दैनिक भास्कर की टीम ने ग्राउंड पर जाकर पूरे मामले को इंवेस्टिगेट किया। भास्कर हादसे की प्रत्यक्षदर्शी महिला तक पहुंचा जो अपने बच्चे को बचाने के लिए आग की लपटों से घिरे घर में घुस गई थी। हादसे में वे भी झुलस गई।  ","Fire broke out during gas cylinder refilling in Jodhpur, even vehicles parked outside the house melted - Dainik Bhaskar | Kirtinagar of Jodhpur was shaken by explosions on Saturday afternoon. Panic spread in the areas of about one kilometer due to one-by-one explosions. In no time, a young man along with 3 children got burnt alive. 16 people were seriously burnt. Several houses in the neighborhood developed cracks. Cars parked in the house melted. , A mother who entered to save her son came out burning, the other killed 4 children, 4 people have died in the cylinder blast in Kirti Nagar in Jodhpur. 16 people are injured and out of these 8 people got 80 percent scorched. The accident has shaken the entire Jodhpur. The magnitude of the accident can be gauged from the fact that 3 to 4 houses around the house where the cylinder blast took place were hit. The child playing outside the house died. How did this accident happen? To know the answer to this question, the team of Dainik Bhaskar went on the ground and investigated the whole matter. Bhaskar reached out to the woman who was an eyewitness to the accident who had entered the house engulfed in flames to save her child. She also got burnt in the accident.",[],"[{'Question': 'Which place of Jodhpur was shaken by explosion on Saturday afternoon', 'Answer': 'Kirtinagar'}, {'Question': 'How many people died in the cylinder blast in Kirti Nagar in Jodhpur', 'Answer': '4'}, {'Question': 'which team went on ground and investigated the whole matter', 'Answer': 'Dainik Bhaskar'}]",Saba
3,"Increasing cases of lumpy skin disease in Uttarakhand know the symptoms | Lumpy Skin Disease:उत्तराखंड में लंपी स्किन डिजीज के बढ़ रहे मामले, जानें क्या हैं लक्षण | Hindi News, Uttar Pradesh | उत्तराखंड में लंपी स्किन डिजीज के मामले लगातार बढ़ते ही जा रहे हैं. पशुओं में लंपी स्किन डिजीज के करीब 19404 मामले अब तक सामने आ चुके हैं. इनमें अब तक 17904 पशु ठीक हो चुके हैं. 321 पशुओं की मौत भी हुई है. इसके अलावा 23,5732 पशुओं का टीकाकरण भी हुआ है. ","Increasing cases of lumpy skin disease in Uttarakhand know the symptoms. Lumpy Skin Disease: Increasing cases of lumpy skin disease in Uttarakhand, know what are the symptoms. Hindi News, Uttar Pradesh | The cases of lumpy skin disease are continuously increasing in Uttarakhand. About 19404 cases of lumpy skin disease have been reported in animals so far. Of these, 17904 animals have been cured so far. 321 animals have also died. Apart from this, vaccination of 23,5732 animals has also been done.","[{'Disease': 'Lumpy skin disease', 'Location': 'Uttarakhand', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '19404'}, {'Disease': 'Lumpy skin disease', 'Location': 'Uttarkhand', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'total', 'Number': '321'}]","[{'Question': 'In which place Lumpy skin disease is Increasing', 'Answer': 'Uttarakhand'}, {'Question': 'How many Lumpy skin disease in animals are reported so far', 'Answer': '19404'}, {'Question': 'How many animal are cured', 'Answer': '17904'}, {'Question': 'How many animals died due to Lumpy disease', 'Answer': '321'}, {'Question': 'How many animals are vaccinated', 'Answer': '235732'}]",Saba
4,"झारखंड के कस्तूरबा स्कूल में फूड पॉइजनिंग से 28 लड़कियां बीमार, जानें कैसे बदलते मौसम में बढ़ रहा है खतरा और कैसे करें बचाव | TheHealthSite.com हिंदी | झारखंड के एक कस्तूरबा विद्यालय में 28 छात्राओं की तबीयत अचानक खराब हो गई, जिसे डॉक्टर ने फूड पॉइजनिंग का मामला बताया है। जानें क्या है फूड पॉइजनिंग और कैसे किया जा सकता है इससे बचाव।","In Jharkhand's Kasturba School, 28 girls fell ill due to food poisoning, know how the danger is increasing in the changing season and how to prevent it. TheHealthSite.com Hindi | In a Kasturba Vidyalaya in Jharkhand, the health of 28 girl students suddenly worsened, which the doctor has described as a case of food poisoning. Learn what is food poisoning and how to prevent it.",[],"[{'Question': 'How many girls fall ill due to food poison', 'Answer': '28'}, {'Question': 'Where did the food poison incident took place', 'Answer': ""Jharkhand's Kasturba School""}]",Saba
5,aurangabad news : औरंगाबाद में दो दिन में लू ने ले ली 10 लोगों की जान| heat stroke claimed 10 live in two days at aurangabad bihar - Navbharat Times | Aurangabad Weather Alert : बिहार के औरंगाबाद जिले में गर्मी लोगों पर कहर बनकर बरपी है। गैर आधिकारिक आंकड़ों के मुताबिक सिर्फ पिछले 10 दिन में लू ने 10 लोगों की जान ले ली। वहीं सदर अस्पताल के डॉक्टर के मुताबिक सिर्फ 24 घंटे में 50 मरीज अस्पताल पहुंचे हैं।  ,"Aurangabad news : In Aurangabad in two days heat wave took the lives of 10 people. Heat stroke claimed 10 live in two days at Aurangabad Bihar - Navbharat Times | Aurangabad Weather Alert: In Aurangabad district of Bihar, the heat has wreaked havoc on the people. According to unofficial figures, in the last 10 days only 10 people were killed. On the other hand, according to the doctor of Sadar Hospital, 50 patients have reached the hospital in just 24 hours.",[],"[{'Question': ""Heat stroke claimed how many people's life at Aurangabad Bihar"", 'Answer': '10'}, {'Question': 'According to unofficial figures,in the last 10 days how many people were killed', 'Answer': '10'}, {'Question': 'According to the doctor of Sadar Hospital how many patients have reached the hospital in just 24 hours', 'Answer': '50'}, {'Question': 'In which place heat wave took lives of 10 people', 'Answer': 'Aurangabad'}]",Saba
6,Ambikapur News:पुटू खाने से एक ही परिवार के चार लोग बीमार; उल्टी-दस्त के बाद कराया गया अस्पताल में भर्ती - Four People Of The Same Family Fell Ill After Eating Puttu In Ambikapur - Amar Ujala Hindi News Live . छत्तीसगढ़ के मैनपाट विकासखंड के ग्राम परपटिया में रविवार रात जंगली पुटू के सेवन से एक ही परिवार के चार सदस्य बीमार,Ambikapur News:Four people of the same family fell ill after eating putu; Hospitalized after vomiting and diarrhea  . Four members of the same family fell ill after consuming wild puttu on Sunday night in Parpatia village of Mainpat development block of Chhattisgarh.,"[{'Disease': 'Diarrhea', 'Location': 'Ambikapur', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '4'}]","[{'Question': 'How many people fell ill after eating putu', 'Answer': '4'}, {'Question': 'In which place family fell ill after consuming wild puttu ', 'Answer': 'Parpatia village of Mainpat development block of Chhattisgarh'}]",Saba
7,54 Corna New Case In Bilashpur - जिले कोरोना के 54 नए मामले पॉजिटिव - Bilaspur News | जिले कोरोना के 54 नए मामले पॉजिटिव ,54 new positive cases of  Corona in Bilashpur - Bilaspur News ,"[{'Disease': 'Corona', 'Location': 'Bilashpur', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '54'}]","[{'Question': '54 new positive cases of corona have occured in which place', 'Answer': 'Bilashpur'}, {'Question': 'How many new positive cases of corona in Bilashpur', 'Answer': '54'}]",Saba
8,"सीएचसी से लेकर जिला अस्पताल में बढ़े मरीज,1 बेड पर दो मरीजों का हो रहा इलाज | Patients increased from CHC to district hospital, treatment of two patients on 1 bed - Dainik Bhaskar | सीतापुर में संदिग्ध बुखार का संक्रमण लगातार बढ़ता जा रहा है। जिला अस्पताल सहित सभी सीएचसी पर ओपीडी में मरीजों की संख्या तीन गुनी से अधिक हो गई है। बेकाबू संक्रमण बुखार से हालात यह हो गए है कि जिला अस्पताल में एक बेड पर तीन तीन मरीज लेटे है। जमीन पर मरीजों को बोतल चढ़ाई जा रही है। बुखार से बीते दो सप्ताह में 6 से अधिक मरीजों की मौत हो चुकी है। जिसमें सबसे ज्यादा बच्चे शामिल है। शुक्रवार को रेउसा सीएच... | sitapur news, sitapur news in hindi, sitapur latest news, sitapur hindi news, sitapur samachar,sitapur Heath news,cmo sitapur, ","Patients increased from CHC to district hospital, treatment of two patients on 1 bed - Dainik Bhaskar | Suspected fever infection is continuously increasing in Sitapur. The number of patients in OPD has more than tripled at all CHCs including district hospital. Due to uncontrollable infection fever, the situation has become such that three patients are lying on one bed in the district hospital. Bottles are being offered to the patients on the ground. More than 6 patients have died in the last two weeks due to fever. In which most of the children are involved. Reusa ch... | sitapur news, sitapur news in hindi, sitapur latest news, sitapur hindi news, sitapur samachar, sitapur heath news, cmo sitapur,",[],"[{'Question': 'How many people have died in the last two weeks due to fever', 'Answer': '6'}, {'Question': 'Suspected fever infection is continously increasing in which place', 'Answer': 'Sitapur'}, {'Question': 'How many patients have died in the last two weeks due to fever', 'Answer': '6'}]",Saba
9,"कोरोना के मामलों में फिर इजाफा, 24 घंटों में 18,313 नए केस, 57 लोगों की मौत - national news punjab kesari delhi corona virus vaccine | भारत में एक दिन में कोरोना वायरस संक्रमण के 18,313 नए मामले सामने आने के बाद देश में संक्रमितों की संख्या बढ़कर 4,39,38,764 हो गई। ","Corona cases increase again, 18,313 new cases in 24 hours, 57 deaths - national news punjab kesari delhi corona virus vaccine | After 18,313 new cases of corona virus infection were reported in India in one day, the number of infected people in the country increased to 4,39,38,764.","[{'Disease': 'Corona', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '18313'}, {'Disease': 'Corona', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '43938764'}, {'Disease': 'Corona', 'Location': 'India', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '57'}]","[{'Question': 'How many Corona cases have increased in 24 hours', 'Answer': '18313'}, {'Question': 'how many new corona deaths in 24 hours', 'Answer': '57'}, {'Question': 'The number of infected people in the country increased to which number', 'Answer': '43938764'}, {'Question': 'How many new cases of corona infection were reported in India on one day', 'Answer': '18313'}]",Saba
